"id_fuente","folio","fnt_nom","fnt_tcap","fnt_oesp","fnt_ppro","fnt_mcro","re_extra","fnt_m3","capa_ext","hors_ope","dias_ope","fnt_kwh","fnt_peso","no_consu","fnt_dond","fnt_espe","clor_cap","clor_gas","clor_sod","clor_dio","clor_ozo","clor_ult","clor_otr","ti_clo_e"
"3","25008","POZO AGUA NUEVA","1","","45","3","0","-3","-3","-3","-3","1495","5157","0","4","","1","0","1","0","0","0","0",""
"4","25008","POZO EL LIMONCITO","1","","20","3","0","-3","-3","-3","-3","55","645","0","4","","1","0","1","0","0","0","0",""
"6","25005","PALMIRA 1","4","","0","2","0","0","16","16","365","14812","39057","0","4","","1","1","0","0","0","0","0",""
"7","17004","MANANTIAL LOS MUÑECOS NO. 1","5","","0","3","0","-3","-3","-3","-3","0","0","1","4","","1","0","1","0","0","0","0",""
"8","25008","POZO LA CRUZ 4","1","","20","3","0","-3","-3","-3","-3","16811.75","35640","0","4","","1","0","1","0","0","0","0",""
"9","04001","POZO 1 CALKINI","1","","35","2","0","-3","-3","-3","-3","-3","-3","0","4","","1","0","1","0","0","0","0",""
"10","25008","POZO EL SOLITO","1","","12","3","0","-3","-3","-3","-3","27","604","0","4","","1","0","1","0","0","0","0",""
"11","25008","POZO RINCON DE IBONIA","1","","45","3","0","-3","-3","-3","-3","960","2934","0","4","","1","0","1","0","0","0","0",""
"12","25008","GALERIA FILTRANTE EL SABINAL","4","","0","3","0","-3","-3","-3","-3","1120","1485","0","4","","1","0","1","0","0","0","0",""
"13","25011","POZO GUASAVITO","1","","60","3","0","-3","-3","-3","-3","1905","6235","0","4","","1","1","0","0","0","0","0",""
"14","25005","LA CHOLULA","4","","0","2","2","0","2","8","365","2791","8191","0","3","","1","0","1","0","0","0","0",""
"15","25008","POZO ENSENADA","1","","20","3","0","-3","-3","-3","-3","2721.6","8693.3","0","4","","1","0","1","0","0","0","0",""
"16","25006","ABUYA Y CEUTA II","1","","20","3","0","0","10","16","365","4289.08","12840.25","0","4","","1","0","1","0","0","0","0",""
"17","17012","POZO NICOLAS BRAVO","1","","-3","2","0","0","-3","-3","-3","0","0","1","3","","1","0","1","0","0","0","0",""
"18","03003","LA POCITAS (SAN HILARIO)","1","","80","2","0","19710","6","2.5","365","0","0","1","3","","1","1","0","0","0","0","0",""
"19","03003","ALFREDO V. BONFIL","1","","30","3","0","39945","4","7.6","365","0","0","1","3","","1","1","0","0","0","0","0",""
"20","03003","SANTA RITA","1","","30","3","0","199728","19","8","365","0","0","1","3","","1","1","0","0","0","0","0",""
"21","12057","CARCAMO # 3 TECPAN","2","","0","3","0","0","60","24","365","0","0","1","4","","1","1","0","0","0","0","0",""
"22","12057","CARCAMO # 4 TECPAN","2","","0","3","0","0","40","24","365","0","0","1","4","","1","1","0","0","0","0","0",""
"23","12081","CERRO DE UÑA","2","","0","3","0","-3","-3","-3","-3","0","0","1","3","","1","1","0","0","0","0","0",""
"24","12081","AGUA FRIA","2","","0","3","0","-3","-3","-3","-3","0","0","1","3","","1","1","0","0","0","0","0",""
"25","12047","SAN PEDRO ATENGO","5","","0","3","0","-3","-3","-3","-3","0","0","1","3","","1","1","0","0","0","0","0",""
"26","25007","GALERIA FILTRANTE EL HIGUERAL","4","","0","3","0","-3","-3","-3","-3","0","0","1","2","","1","1","0","0","0","0","0",""
