"folio","ag_servi","pobl_prc","no_sabe","tot_pres"
"01001","1","99.27","0","2"
"01002","1","96","0","1"
"01003","1","99","0","1"
"01004","1","98","0","1"
"01005","1","98","0","1"
"01006","1","90","0","1"
"01007","1","95.87","0","1"
"01008","1","99","0","1"
"01009","1","96","0","1"
"01010","1","80","0","1"
"01011","1","98","0","1"
"02001","1","77.95","0","1"
"02002","1","91.7","0","1"
"02003","1","95.08","0","1"
"02004","1","99","0","1"
"02005","1","95","0","1"
"03001","1","99.75","0","1"
"03002","1","97","0","1"
"03003","1","98.75","0","1"
"03008","1","90","0","1"
"03009","1","95","0","1"
"04001","1","90","0","1"
"04002","1","90","0","1"
"04003","1","85","0","1"
"04004","1","96.7","0","1"
"04005","1","95","0","1"
"04006","1","95","0","1"
"04007","1","46","0","1"
"04008","1","-2","1","1"
"04009","1","96.07","0","1"
"04010","1","85","0","1"
"04011","1","89","0","1"
"05001","1","96.41","0","1"
"05002","1","99","0","1"
"05003","1","98.07","0","1"
"05004","1","90","0","1"
"05005","1","96.37","0","1"
"05006","1","99","0","1"
"05007","1","90","0","1"
"05008","1","70","0","1"
"05009","1","70","0","1"
"05010","1","94.49","0","1"
"05011","1","95","0","1"
"05012","1","90.63","0","1"
"05013","1","95.41","0","1"
"05014","1","53","0","1"
"05015","1","99","0","1"
"05016","1","80","0","1"
"05017","1","96","0","1"
"05018","1","94.49","0","1"
"05019","1","90","0","1"
"05020","1","95","0","1"
"05021","1","92","0","1"
"05022","1","95","0","1"
"05023","1","90","0","1"
"05024","1","97","0","1"
"05025","1","99.1","0","1"
"05026","1","96","0","1"
"05027","1","94.98","0","1"
"05028","1","98","0","1"
"05029","1","98.6","0","1"
"05030","1","95","0","1"
"05031","1","95","0","1"
"05032","1","98","0","1"
"05033","1","95","0","1"
"05034","1","85","0","1"
"05035","1","99","0","1"
"05036","1","93.49","0","1"
"05037","1","96.24","0","1"
"05038","1","99","0","1"
"06001","1","90","0","1"
"06002","1","98.43","0","1"
"06003","1","99","0","1"
"06004","1","98.05","0","1"
"06005","1","99.5","0","1"
"06006","1","95","0","1"
"06007","1","99","0","1"
"06008","1","95","0","1"
"06009","1","90","0","1"
"06010","1","98.8","0","1"
